"Name","OverallScore","SyntaxValid","SyntaxErrors","DocScore","MissingSections","SecurityScore","SecurityIssues","ErrorHandlingScore","CodeQualityScore","Path"
"Application MAM Get.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application MAM Get.ps1"
"Application MDM Export.ps1","63","False","1","100","","100","","80","72","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application MDM Export.ps1"
"Application MDM Get.ps1","63","False","1","100","","100","","80","70","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application MDM Get.ps1"
"Application MDM Import Fromjson.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application MDM Import Fromjson.ps1"
"Application MDM Remove.ps1","64","False","1","100","","100","","80","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application MDM Remove.ps1"
"Application Office365 Add Assign.ps1","63","False","1","100","","100","","80","66","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Office365 Add Assign.ps1"
"Application Office365 Add.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Office365 Add.ps1"
"Application Web Add No Icon.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Web Add No Icon.ps1"
"Application Web Add With Icon.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Web Add With Icon.ps1"
"Appreport.ps1","56","False","1","100","","60","Potential hardcoded credential detected","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Appreport.ps1"
"Apv2 Collectinfo.ps1","41","False","1","67",".EXAMPLE","100","","0","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Apv2 Collectinfo.ps1"
"Apv2 Corpid Upload Individual.ps1","41","False","1","67",".EXAMPLE","100","","0","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Apv2 Corpid Upload Individual.ps1"
"Apv2 Webhook Script.ps1","55","False","1","67",".EXAMPLE","100","","70","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Apv2 Webhook Script.ps1"
"Assignmentsbygroup.ps1","63","False","1","67",".EXAMPLE","100","","100","94","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Assignmentsbygroup.ps1"
"Associatedfilter Get.ps1","60","False","1","100","","100","","80","38","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Associatedfilter Get.ps1"
"Auditing Get.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Auditing Get.ps1"
"Auditing User Report Get.ps1","64","False","1","100","","100","","80","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Auditing User Report Get.ps1"
"Auth Apponly.ps1","65","False","1","100","","100","","80","92","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Auth Apponly.ps1"
"Auth From File.ps1","56","False","1","100","","60","Potential hardcoded credential detected","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Auth From File.ps1"
"Autoautopilot.ps1","62","False","1","100","","100","","70","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Autopilot-Configuration\Autoautopilot.ps1"
"Autocreatehyperv.ps1","53","False","1","67",".EXAMPLE","100","","50","94","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Autocreatehyperv.ps1"
"Autopilotbranding Steve.ps1","52","False","1","67",".EXAMPLE","70","Security risk: Contains pattern 'Invoke-Expression'","100","46","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Autopilot-Configuration\Autopilotbranding Steve.ps1"
"Azure Privateendpoint Creator.ps1","63","False","1","67",".EXAMPLE","100","","100","100","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Azure Privateendpoint Creator.ps1"
"Azure Security Center Compliance Scanner.ps1","59","False","1","67",".EXAMPLE","100","","100","58","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Azure Security Center Compliance Scanner.ps1"
"Batch Post.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Batch Post.ps1"
"Bitlocker Detection.ps1","57","False","1","67",".EXAMPLE","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Bitlocker Detection.ps1"
"Bitlockerremedy.ps1","46","False","1","67",".EXAMPLE","100","","30","62","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Bitlockerremedy.ps1"
"Bulkgrouptagupdate.ps1","57","False","1","67",".EXAMPLE","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Bulkgrouptagupdate.ps1"
"Certificateconnector Get.ps1","65","False","1","100","","100","","80","86","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Certificate-Management\Certificateconnector Get.ps1"
"Check Enrolleddatetime.ps1","64","False","1","100","","100","","80","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Check Enrolleddatetime.ps1"
"Check Lastsyncdatetime.ps1","64","False","1","100","","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Check Lastsyncdatetime.ps1"
"Check Updatecompliancesetting.ps1","56","False","1","100","","100","","80","0","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Check Updatecompliancesetting.ps1"
"Checkforoobe.ps1","47","False","1","67",".EXAMPLE","100","","30","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Checkforoobe.ps1"
"Choco.ps1","51","False","1","67",".EXAMPLE","70","Security risk: Contains pattern 'Invoke-Expression'","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Choco.ps1"
"Chocoinstall.ps1","51","False","1","67",".EXAMPLE","70","Security risk: Contains pattern 'Invoke-Expression'","80","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Chocoinstall.ps1"
"Chocouninstall.ps1","51","False","1","67",".EXAMPLE","100","","50","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Chocouninstall.ps1"
"Chocoupdatealldetect.ps1","41","False","1","67",".EXAMPLE","70","Security risk: Contains pattern 'Invoke-Expression'","30","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Chocoupdatealldetect.ps1"
"Chocoupdateallremediate.ps1","51","False","1","67",".EXAMPLE","70","Security risk: Contains pattern 'Invoke-Expression'","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Remediation-Scripts\Chocoupdateallremediate.ps1"
"Cleanup Temp Files.ps1","59","False","1","67",".EXAMPLE","100","","80","92","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Cleanup Temp Files.ps1"
"Clientscript.ps1","41","False","1","67",".EXAMPLE","100","","0","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Clientscript.ps1"
"Companyportal Export.ps1","64","False","1","100","","100","","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Companyportal Export.ps1"
"Companyportal Get.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Reporting-Analytics\Companyportal Get.ps1"
"Companyportal Import Fromjson.ps1","65","False","1","100","","100","","80","86","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Companyportal Import Fromjson.ps1"
"Companyportal Set Brand.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Companyportal Set Brand.ps1"
"Companyportal Set Default.ps1","65","False","1","100","","100","","80","86","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Companyportal Set Default.ps1"
"Compliancepolicy Add Assign.ps1","63","False","1","100","","100","","80","68","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Add Assign.ps1"
"Compliancepolicy Add.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Add.ps1"
"Compliancepolicy Export.ps1","63","False","1","100","","100","","80","74","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Export.ps1"
"Compliancepolicy Get.ps1","63","False","1","100","","100","","80","66","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Get.ps1"
"Compliancepolicy Import Fromjson.ps1","64","False","1","100","","100","","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Import Fromjson.ps1"
"Compliancepolicy Remove.ps1","63","False","1","100","","100","","80","74","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Compliancepolicy Remove.ps1"
"Configure Mdatpintunesecadminrole.ps1","58","False","1","100","","100","","80","22","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Security-Hardening\Configure Mdatpintunesecadminrole.ps1"
"Corpdeviceenrollment Add.ps1","63","False","1","100","","100","","80","72","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Corpdeviceenrollment Add.ps1"
"Corpdeviceenrollment Export.ps1","64","False","1","100","","100","","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Corpdeviceenrollment Export.ps1"
"Corpdeviceenrollment Get.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Corpdeviceenrollment Get.ps1"
"Corpdeviceenrollment Remove.ps1","64","False","1","100","","100","","80","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Corpdeviceenrollment Remove.ps1"
"Create Adgroups.ps1","41","False","1","67",".EXAMPLE","100","","0","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Create Adgroups.ps1"
"Create Gmsa.ps1","41","False","1","67",".EXAMPLE","100","","0","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Create Gmsa.ps1"
"Createhyperv V2.ps1","55","False","1","67",".EXAMPLE","100","","70","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Createhyperv V2.ps1"
"Createhyperv V3.ps1","53","False","1","67",".EXAMPLE","100","","50","98","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Createhyperv V3.ps1"
"Createhyperv.ps1","55","False","1","67",".EXAMPLE","100","","70","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Createhyperv.ps1"
"Createtask Single Script.ps1","41","False","1","67",".EXAMPLE","100","","0","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Createtask Single Script.ps1"
"Createvm.ps1","53","False","1","67",".EXAMPLE","100","","50","94","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Createvm.ps1"
"Customcompliancerequirements.ps1","47","False","1","67",".EXAMPLE","100","","30","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Customcompliancerequirements.ps1"
"Customdetection.ps1","57","False","1","67",".EXAMPLE","100","","70","100","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\Customdetection.ps1"
"Debloat.ps1","51","False","1","67",".EXAMPLE","100","","50","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Debloat.ps1"
"Delete Old User Profiles.ps1","59","False","1","67",".EXAMPLE","100","","80","92","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Delete Old User Profiles.ps1"
"Delete Sccm Cache And Distro.ps1","59","False","1","67",".EXAMPLE","100","","80","98","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Delete Sccm Cache And Distro.ps1"
"Delete Sccm Cache.ps1","59","False","1","67",".EXAMPLE","100","","80","96","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Delete Sccm Cache.ps1"
"Dell BIOS Baseline.ps1","66","False","1","100","","100","","100","64","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Dell BIOS Baseline.ps1"
"Dell BIOS Boot Order.ps1","68","False","1","100","","100","","100","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Dell BIOS Boot Order.ps1"
"Dell BIOS Password.ps1","67","False","1","100","","100","","100","70","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Dell BIOS Password.ps1"
"Dell BIOS Persistence.ps1","68","False","1","100","","100","","100","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Dell BIOS Persistence.ps1"
